word,cat_lev1,cat_lev2,cat_lev3,ndf
kind,social,social_interaction,personality_host,0.009902657955
warm,social,social_interaction,personality_host,0.009698107305
charming,social,social_interaction,personality_host,0.008903969486
sweet,social,social_interaction,personality_host,0.007724795149
gracious,social,social_interaction,personality_host,0.00713520798
interesting,social,social_interaction,personality_host,0.006521556029
adorable,social,social_interaction,personality_host,0.006016195599
inviting,social,social_interaction,personality_host,0.004355725613
delightful,social,social_interaction,personality_host,0.004488081917
relaxed,social,social_interaction,personality_host,0.004331660831
kindness,social,social_interaction,personality_host,0.004247434093
calm,social,social_interaction,personality_host,0.004379790396
polite,social,social_interaction,personality_host,0.003405166709
courteous,social,social_interaction,personality_host,0.002767449975
warmth,social,social_interaction,personality_host,0.001516081291
funny,social,social_interaction,personality_host,0.001395757379
easygoing,social,social_interaction,personality_host,0.0006136519511
sympathy,social,social_interaction,personality_host,0.0005414576039
shared,social,social_interaction,sharing,0.005823677339
share,social,social_interaction,sharing,0.004704664958
sharing,social,social_interaction,sharing,0.003730041271
experiences,social,social_interaction,sharing,0.002538834543
stories,social,social_interaction,sharing,0.001576243247
interests,social,social_interaction,sharing,0.0006497491246
chat,social,social_interaction,talking,0.003056227364
conversation,social,social_interaction,talking,0.002875741496
conversations,social,social_interaction,talking,0.002346316283
talking,social,social_interaction,talking,0.001961279765
chatting,social,social_interaction,talking,0.00140778977
moments,social,social_interaction,talking,0.001155109555
chats,social,social_interaction,talking,0.0005534899951
talks,social,social_interaction,talking,0.0003609717359
